f_Hz,Kprime_VG 10  (η = 10 mPa·s)_GPa,Kdoubleprime_VG 10  (η = 10 mPa·s)_GPa,tand_VG 10  (η = 10 mPa·s),Kprime_VG 22  (η = 22 mPa·s)_GPa,Kdoubleprime_VG 22  (η = 22 mPa·s)_GPa,tand_VG 22  (η = 22 mPa·s),Kprime_VG 46  (η = 46 mPa·s)_GPa,Kdoubleprime_VG 46  (η = 46 mPa·s)_GPa,tand_VG 46  (η = 46 mPa·s),Kprime_VG 100 (η = 100 mPa·s)_GPa,Kdoubleprime_VG 100 (η = 100 mPa·s)_GPa,tand_VG 100 (η = 100 mPa·s),Kprime_VG 320 (η = 320 mPa·s)_GPa,Kdoubleprime_VG 320 (η = 320 mPa·s)_GPa,tand_VG 320 (η = 320 mPa·s)
1.000e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.035e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.072e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.109e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.148e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.189e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.231e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.274e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.319e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.365e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.413e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.463e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.515e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.568e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.623e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.680e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.739e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.801e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.864e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.930e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.998e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.068e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.141e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.216e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.294e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.375e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.458e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.545e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.635e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.727e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.823e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.923e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.026e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.132e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.242e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.356e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.475e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.597e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.724e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.855e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.990e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.131e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.276e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.427e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.582e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.744e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.911e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.084e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.263e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.448e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
5.640e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
5.838e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.044e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.256e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.477e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.705e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
6.941e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.185e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.438e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.700e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
7.971e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
8.251e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
8.542e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
8.843e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.154e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.476e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
9.810e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.015e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.051e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
1.088e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000002,0.000001
1.127e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000002,0.000001
1.166e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.207e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.250e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.294e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.339e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.386e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.435e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.486e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.538e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.592e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001
1.648e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000002
1.706e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002
1.766e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002
1.829e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
1.893e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
1.960e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.029e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.100e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.174e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.250e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.330e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.412e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002
2.496e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000002
2.584e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000002
2.675e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
2.770e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
2.867e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
2.968e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
3.072e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
3.181e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000004,0.000003
3.293e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000005,0.000003
3.408e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003
3.528e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003
3.653e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003
3.781e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000005,0.000004
3.914e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000006,0.000004
4.052e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000006,0.000004
4.195e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000006,0.000004
4.342e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000006,0.000004
4.495e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000006,0.000004
4.653e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000007,0.000004
4.817e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000007,0.000005
4.987e+04,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000007,0.000005
5.162e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000007,0.000005
5.344e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000008,0.000005
5.532e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000008,0.000005
5.727e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000008,0.000005
5.929e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000008,0.000006
6.137e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000009,0.000006
6.353e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000009,0.000006
6.577e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000009,0.000006
6.809e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000010,0.000006
7.048e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000010,0.000007
7.296e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000010,0.000007
7.553e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001,1.500000,0.000003,0.000002,1.500000,0.000011,0.000007
7.819e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000003,0.000002,1.500000,0.000011,0.000007
8.094e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000002,1.500000,0.000011,0.000008
8.379e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000002,1.500000,0.000012,0.000008
8.674e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000003,1.500000,0.000012,0.000008
8.980e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000003,1.500000,0.000013,0.000008
9.296e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000003,1.500000,0.000013,0.000009
9.623e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000003,1.500000,0.000014,0.000009
9.962e+04,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000004,0.000003,1.500000,0.000014,0.000009
1.031e+05,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003,1.500000,0.000015,0.000010
1.068e+05,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003,1.500000,0.000015,0.000010
1.105e+05,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000001,1.500000,0.000005,0.000003,1.500000,0.000016,0.000010
1.144e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000005,0.000003,1.500000,0.000016,0.000011
1.184e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000005,0.000003,1.500000,0.000017,0.000011
1.226e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000002,0.000002,1.500000,0.000005,0.000004,1.500000,0.000017,0.000012
1.269e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000006,0.000004,1.500000,0.000018,0.000012
1.314e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000006,0.000004,1.500000,0.000019,0.000012
1.360e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000006,0.000004,1.500000,0.000019,0.000013
1.408e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000006,0.000004,1.500000,0.000020,0.000013
1.457e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000006,0.000004,1.500000,0.000021,0.000014
1.509e+05,1.500000,0.000001,0.000000,1.500000,0.000001,0.000001,1.500000,0.000003,0.000002,1.500000,0.000007,0.000004,1.500000,0.000021,0.000014
1.562e+05,1.500000,0.000001,0.000000,1.500000,0.000002,0.000001,1.500000,0.000003,0.000002,1.500000,0.000007,0.000005,1.500000,0.000022,0.000015
